"Option","Strike","Type","Bid","Ask","Days_expiration"
"AUG4 15",1800,"CALL",92.7,100.7,4
"AUG4 15",1805,"CALL",88.7,96.7,4
"AUG4 15",1810,"CALL",84.8,92.8,4
"AUG4 15",1815,"CALL",80.9,88.9,4
"AUG4 15",1820,"CALL",77.1,85.1,4
"AUG4 15",1825,"CALL",73.4,81.4,4
"AUG4 15",1830,"CALL",69.7,77.7,4
"AUG4 15",1835,"CALL",66.1,74.1,4
"AUG4 15",1840,"CALL",62.5,70.5,4
"AUG4 15",1845,"CALL",59,67,4
"AUG4 15",1850,"CALL",55.6,63.6,4
"AUG4 15",1855,"CALL",52.2,60.2,4
"AUG4 15",1860,"CALL",50.5,55.5,4
"AUG4 15",1865,"CALL",47.8,51.8,4
"AUG4 15",1870,"CALL",44.7,48.7,4
"AUG4 15",1875,"CALL",41.7,45.7,4
"AUG4 15",1880,"CALL",38.7,42.7,4
"AUG4 15",1885,"CALL",36.3,39.5,4
"AUG4 15",1890,"CALL",33.5,36.7,4
"AUG4 15",1895,"CALL",30.9,34.1,4
"AUG4 15",1900,"CALL",28.8,31.2,4
"AUG4 15",1905,"CALL",26.3,28.7,4
"AUG4 15",1910,"CALL",24,26.4,4
"AUG4 15",1915,"CALL",21.8,24.2,4
"AUG4 15",1920,"CALL",20.1,21.7,4
"AUG4 15",1925,"CALL",18.3,19.5,4
"AUG4 15",1930,"CALL",16.4,17.6,4
"AUG4 15",1935,"CALL",14.6,15.8,4
"AUG4 15",1940,"CALL",12.9,14.1,4
"AUG4 15",1945,"CALL",11.4,12.6,4
"AUG4 15",1950,"CALL",10,11.2,4
"AUG4 15",1955,"CALL",8.8,9.7,4
"AUG4 15",1960,"CALL",7.7,8.6,4
"AUG4 15",1965,"CALL",6.6,7.5,4
"AUG4 15",1970,"CALL",5.7,6.6,4
"AUG4 15",1975,"CALL",4.9,5.8,4
"AUG4 15",1980,"CALL",4.2,5,4
"AUG4 15",1985,"CALL",3.6,4.4,4
"AUG4 15",1990,"CALL",3.1,3.9,4
"AUG4 15",1995,"CALL",2.55,3.3,4
"AUG4 15",2000,"CALL",2.15,2.95,4
"AUG4 15",2005,"CALL",1.85,2.55,4
"AUG4 15",2010,"CALL",1.6,2.15,4
"AUG4 15",2015,"CALL",1.35,1.9,4
"AUG4 15",2020,"CALL",1.15,1.7,4
"AUG4 15",2025,"CALL",0.95,1.5,4
"AUG4 15",2030,"CALL",0.75,1.3,4
"AUG4 15",2035,"CALL",0.65,1.1,4
"AUG4 15",2040,"CALL",0.55,1,4
"AUG4 15",2045,"CALL",0.45,0.9,4
"AUG4 15",2050,"CALL",0.35,0.8,4
"AUG4 15",2055,"CALL",0.3,0.7,4
"AUG4 15",2060,"CALL",0.2,0.6,4
"AUG4 15",2065,"CALL",0.15,0.55,4
"AUG4 15",2070,"CALL",0.1,0.5,4
"AUG4 15",2075,"CALL",0.1,0.4,4
"AUG4 15",2080,"CALL",0.05,0.35,4
"AUG4 15",2085,"CALL",0.05,0.35,4
"AUG4 15",2090,"CALL",0,0.3,4
"AUG4 15",2095,"CALL",0,0.3,4
"AUG4 15",2100,"CALL",0,0.3,4
"AUG4 15",2105,"CALL",0,0.3,4
"AUG4 15",2110,"CALL",0,0.3,4
"AUG4 15",2115,"CALL",0,0.3,4
"AUG4 15",2120,"CALL",0,0.3,4
"AUG4 15",2125,"CALL",0,0.3,4
"AUG4 15",2130,"CALL",0,0.3,4
"AUG4 15",2135,"CALL",0,0.3,4
"AUG4 15",2140,"CALL",0,0.3,4
"AUG4 15",2145,"CALL",0,0.3,4
"AUG4 15",2150,"CALL",0,0.3,4
"AUG4 15",2155,"CALL",0,0.3,4
"AUG4 15",2160,"CALL",0,0.3,4
"AUG4 15",2165,"CALL",0,0.3,4
"AUG4 15",2170,"CALL",0,0.3,4
"AUG4 15",2175,"CALL",0,0.3,4
"AUG4 15",2180,"CALL",0,0.3,4
"AUG4 15",2185,"CALL",0,0.3,4
"AUG4 15",2190,"CALL",0,0.3,4
"AUG4 15",2195,"CALL",0,0.3,4
"AUG4 15",2200,"CALL",0,0.3,4
"AUG4 15",2205,"CALL",0,0.3,4
"AUG4 15",2210,"CALL",0,0.05,4
"AUG4 15",2215,"CALL",0,0.3,4
"AUG4 15",2220,"CALL",0,0.3,4
"AUG4 15",2225,"CALL",0,0.3,4
"AUG4 15",2230,"CALL",0,0.3,4
"AUG4 15",2235,"CALL",0,0.3,4
"AUG4 15",2240,"CALL",0,0.3,4
"AUG4 15",2245,"CALL",0,0.3,4
"AUG4 15",2250,"CALL",0,0.3,4
"AUG4 15",2255,"CALL",0,0.3,4
"AUG4 15",2260,"CALL",0,0.3,4
"AUG4 15",2265,"CALL",0,0.3,4
"AUG4 15",2270,"CALL",0,0.3,4
"AUG4 15",2275,"CALL",0,0.3,4
"AUG4 15",2280,"CALL",0,0.3,4
"AUG4 15",2290,"CALL",0,0.3,4
"AUG4 15",2300,"CALL",0,0.3,4
"AUG4 15",2325,"CALL",0,0.3,4
"AUG4 15",2350,"CALL",0,0.3,4
"AUG4 15",2400,"CALL",0,0.3,4
"AUG4 15",2450,"CALL",0,0.3,4
"AUG5 15",750,"CALL",1112.3,1131.5,7
"AUG5 15",800,"CALL",1062.3,1081.5,7
"AUG5 15",850,"CALL",1012.3,1031.5,7
"AUG5 15",900,"CALL",962.3,981.5,7
"AUG5 15",950,"CALL",912.3,931.5,7
"AUG5 15",1000,"CALL",862.3,881.5,7
"AUG5 15",1050,"CALL",812.4,831.6,7
"AUG5 15",1100,"CALL",762.4,781.6,7
"AUG5 15",1125,"CALL",737.4,756.6,7
"AUG5 15",1150,"CALL",712.4,731.6,7
"AUG5 15",1175,"CALL",687.4,706.6,7
"AUG5 15",1200,"CALL",662.5,681.7,7
"AUG5 15",1225,"CALL",637.5,656.7,7
"AUG5 15",1250,"CALL",612.5,631.7,7
"AUG5 15",1275,"CALL",587.6,606.8,7
"AUG5 15",1300,"CALL",562.7,581.9,7
"AUG5 15",1325,"CALL",537.8,557,7
"AUG5 15",1350,"CALL",512.9,532.1,7
"AUG5 15",1375,"CALL",488,507.2,7
"AUG5 15",1400,"CALL",463.2,482.4,7
"AUG5 15",1425,"CALL",438.4,457.6,7
"AUG5 15",1450,"CALL",413.7,432.9,7
"AUG5 15",1475,"CALL",389,408.2,7
"AUG5 15",1500,"CALL",364.4,383.6,7
"AUG5 15",1510,"CALL",354.6,373.8,7
"AUG5 15",1520,"CALL",344.8,364,7
"AUG5 15",1525,"CALL",339.9,359.1,7
"AUG5 15",1530,"CALL",335.1,354.3,7
"AUG5 15",1540,"CALL",325.3,344.5,7
"AUG5 15",1550,"CALL",315.5,334.7,7
"AUG5 15",1555,"CALL",310.7,329.9,7
"AUG5 15",1560,"CALL",305.8,325,7
"AUG5 15",1565,"CALL",301,320.2,7
"AUG5 15",1570,"CALL",296.1,315.3,7
"AUG5 15",1575,"CALL",291.3,310.5,7
"AUG5 15",1580,"CALL",286.4,305.6,7
"AUG5 15",1585,"CALL",281.6,300.8,7
"AUG5 15",1590,"CALL",276.8,296,7
"AUG5 15",1595,"CALL",272,291.2,7
"AUG5 15",1600,"CALL",267.2,286.4,7
"AUG5 15",1605,"CALL",262.4,281.6,7
"AUG5 15",1610,"CALL",257.6,276.8,7
"AUG5 15",1615,"CALL",252.8,272,7
"AUG5 15",1620,"CALL",248,267.2,7
"AUG5 15",1625,"CALL",243.3,262.5,7
"AUG5 15",1630,"CALL",238.5,257.7,7
"AUG5 15",1635,"CALL",233.8,253,7
"AUG5 15",1640,"CALL",229.1,248.3,7
"AUG5 15",1645,"CALL",224.3,243.5,7
"AUG5 15",1650,"CALL",219.6,238.8,7
"AUG5 15",1655,"CALL",214.9,234.1,7
"AUG5 15",1660,"CALL",210.2,229.4,7
"AUG5 15",1665,"CALL",205.6,224.8,7
"AUG5 15",1670,"CALL",200.9,220.1,7
"AUG5 15",1675,"CALL",197.9,213.9,7
"AUG5 15",1680,"CALL",193.2,209.2,7
"AUG5 15",1685,"CALL",190.2,203,7
"AUG5 15",1690,"CALL",185.6,198.4,7
"AUG5 15",1695,"CALL",181.1,193.9,7
"AUG5 15",1700,"CALL",176.5,189.3,7
"AUG5 15",1705,"CALL",172,184.8,7
"AUG5 15",1710,"CALL",167.4,180.2,7
"AUG5 15",1715,"CALL",162.9,175.7,7
"AUG5 15",1720,"CALL",158.4,171.2,7
"AUG5 15",1725,"CALL",154,166.8,7
"AUG5 15",1730,"CALL",149.6,162.4,7
"AUG5 15",1735,"CALL",145.1,157.9,7
"AUG5 15",1740,"CALL",140.8,153.6,7
"AUG5 15",1745,"CALL",136.4,149.2,7
"AUG5 15",1750,"CALL",132.1,144.9,7
"AUG5 15",1755,"CALL",127.8,140.6,7
"AUG5 15",1760,"CALL",123.5,136.3,7
"AUG5 15",1765,"CALL",119.3,132.1,7
"AUG5 15",1770,"CALL",115.1,127.9,7
"AUG5 15",1775,"CALL",110.9,123.7,7
"AUG5 15",1780,"CALL",106.8,119.6,7
"AUG5 15",1785,"CALL",102.7,115.5,7
"AUG5 15",1790,"CALL",100.1,110.1,7
"AUG5 15",1795,"CALL",96.1,106.1,7
"AUG5 15",1800,"CALL",93.2,101.2,7
"AUG5 15",1805,"CALL",89.3,97.3,7
"AUG5 15",1810,"CALL",85.5,93.5,7
"AUG5 15",1815,"CALL",81.7,89.7,7
"AUG5 15",1820,"CALL",78,86,7
"AUG5 15",1825,"CALL",74.4,82.4,7
"AUG5 15",1830,"CALL",70.8,78.8,7
"AUG5 15",1835,"CALL",67.3,75.3,7
"AUG5 15",1840,"CALL",63.8,71.8,7
"AUG5 15",1845,"CALL",60.4,68.4,7
"AUG5 15",1850,"CALL",57.1,65.1,7
"AUG5 15",1855,"CALL",53.9,61.9,7
"AUG5 15",1860,"CALL",50.8,58.8,7
"AUG5 15",1865,"CALL",49.2,54.2,7
"AUG5 15",1870,"CALL",46.7,50.7,7
"AUG5 15",1875,"CALL",43.8,47.8,7
"AUG5 15",1880,"CALL",41,45,7
"AUG5 15",1885,"CALL",38.2,42.2,7
"AUG5 15",1890,"CALL",36,39.2,7
"AUG5 15",1895,"CALL",33.5,36.7,7
"AUG5 15",1900,"CALL",31,34.2,7
"AUG5 15",1905,"CALL",28.8,31.8,7
"AUG5 15",1910,"CALL",26.8,29.2,7
"AUG5 15",1915,"CALL",24.7,27.1,7
"AUG5 15",1920,"CALL",22.6,25,7
"AUG5 15",1925,"CALL",20.7,23.1,7
"AUG5 15",1930,"CALL",19.4,20.6,7
"AUG5 15",1935,"CALL",17.6,18.8,7
"AUG5 15",1940,"CALL",16,17.2,7
"AUG5 15",1945,"CALL",14.5,15.7,7
"AUG5 15",1950,"CALL",13,14.2,7
"AUG5 15",1955,"CALL",11.7,12.9,7
"AUG5 15",1960,"CALL",10.4,11.6,7
"AUG5 15",1965,"CALL",9.4,10.3,7
"AUG5 15",1970,"CALL",8.3,9.2,7
"AUG5 15",1975,"CALL",7.4,8.3,7
"AUG5 15",1980,"CALL",6.5,7.4,7
"AUG5 15",1985,"CALL",5.7,6.6,7
"AUG5 15",1990,"CALL",5,5.9,7
"AUG5 15",1995,"CALL",4.4,5.2,7
"AUG5 15",2000,"CALL",3.9,4.7,7
"AUG5 15",2005,"CALL",3.4,4.2,7
"AUG5 15",2010,"CALL",2.85,3.6,7
"AUG5 15",2015,"CALL",2.45,3.2,7
"AUG5 15",2020,"CALL",2.1,2.9,7
"AUG5 15",2025,"CALL",1.85,2.55,7
"AUG5 15",2030,"CALL",1.65,2.2,7
"AUG5 15",2035,"CALL",1.4,1.95,7
"AUG5 15",2040,"CALL",1.2,1.75,7
"AUG5 15",2045,"CALL",1,1.55,7
"AUG5 15",2050,"CALL",0.85,1.4,7
"AUG5 15",2055,"CALL",0.75,1.2,7
"AUG5 15",2060,"CALL",0.65,1.1,7
"AUG5 15",2065,"CALL",0.5,0.95,7
"AUG5 15",2070,"CALL",0.4,0.85,7
"AUG5 15",2075,"CALL",0.35,0.8,7
"AUG5 15",2080,"CALL",0.3,0.7,7
"AUG5 15",2085,"CALL",0.25,0.65,7
"AUG5 15",2090,"CALL",0.2,0.6,7
"AUG5 15",2095,"CALL",0.15,0.55,7
"AUG5 15",2100,"CALL",0.1,0.5,7
"AUG5 15",2105,"CALL",0.1,0.4,7
"AUG5 15",2110,"CALL",0.05,0.35,7
"AUG5 15",2115,"CALL",0,0.3,7
"AUG5 15",2120,"CALL",0,0.3,7
"AUG5 15",2125,"CALL",0,0.3,7
"AUG5 15",2130,"CALL",0,0.3,7
"AUG5 15",2135,"CALL",0,0.3,7
"AUG5 15",2140,"CALL",0,0.3,7
"AUG5 15",2145,"CALL",0,0.3,7
"AUG5 15",2150,"CALL",0,0.3,7
"AUG5 15",2155,"CALL",0,0.3,7
"AUG5 15",2160,"CALL",0,0.3,7
"AUG5 15",2165,"CALL",0,0.3,7
"AUG5 15",2170,"CALL",0,0.3,7
"AUG5 15",2175,"CALL",0,0.3,7
"AUG5 15",2180,"CALL",0,0.3,7
"AUG5 15",2185,"CALL",0,0.3,7
"AUG5 15",2190,"CALL",0,0.3,7
"AUG5 15",2195,"CALL",0,0.3,7
"AUG5 15",2200,"CALL",0,0.3,7
"AUG5 15",2205,"CALL",0,0.3,7
"AUG5 15",2210,"CALL",0,0.3,7
"AUG5 15",2215,"CALL",0,0.3,7
"AUG5 15",2220,"CALL",0,0.3,7
"AUG5 15",2225,"CALL",0,0.3,7
"AUG5 15",2230,"CALL",0,0.3,7
"AUG5 15",2235,"CALL",0,0.3,7
"AUG5 15",2240,"CALL",0,0.3,7
"AUG5 15",2245,"CALL",0,0.3,7
"AUG5 15",2250,"CALL",0,0.3,7
"AUG5 15",2255,"CALL",0,0.3,7
"AUG5 15",2260,"CALL",0,0.3,7
"AUG5 15",2265,"CALL",0,0.3,7
"AUG5 15",2270,"CALL",0,0.3,7
"AUG5 15",2275,"CALL",0,0.3,7
"AUG5 15",2280,"CALL",0,0.3,7
"AUG5 15",2290,"CALL",0,0.3,7
"AUG5 15",2300,"CALL",0,0.3,7
"AUG5 15",2350,"CALL",0,0.3,7
"AUG5 15",2400,"CALL",0,0.3,7
"AUG5 15",2450,"CALL",0,0.3,7
"SEP1 15",750,"CALL",1111.6,1130.8,11
"SEP1 15",800,"CALL",1061.7,1080.9,11
"SEP1 15",850,"CALL",1011.7,1030.9,11
"SEP1 15",900,"CALL",961.7,980.9,11
"SEP1 15",950,"CALL",911.7,930.9,11
"SEP1 15",1000,"CALL",861.8,881,11
"SEP1 15",1050,"CALL",811.8,831,11
"SEP1 15",1100,"CALL",761.9,781.1,11
"SEP1 15",1150,"CALL",712,731.2,11
"SEP1 15",1175,"CALL",687.1,706.3,11
"SEP1 15",1200,"CALL",662.2,681.4,11
"SEP1 15",1225,"CALL",637.3,656.5,11
"SEP1 15",1250,"CALL",612.5,631.7,11
"SEP1 15",1275,"CALL",587.6,606.8,11
"SEP1 15",1300,"CALL",562.8,582,11
"SEP1 15",1325,"CALL",538,557.2,11
"SEP1 15",1350,"CALL",513.3,532.5,11
"SEP1 15",1375,"CALL",488.6,507.8,11
"SEP1 15",1400,"CALL",464,483.2,11
"SEP1 15",1425,"CALL",439.4,458.6,11
"SEP1 15",1450,"CALL",414.9,434.1,11
"SEP1 15",1475,"CALL",390.5,409.7,11
"SEP1 15",1500,"CALL",366.2,385.4,11
"SEP1 15",1510,"CALL",356.5,375.7,11
"SEP1 15",1520,"CALL",346.9,366.1,11
"SEP1 15",1525,"CALL",342,361.2,11
"SEP1 15",1530,"CALL",337.2,356.4,11
"SEP1 15",1540,"CALL",327.6,346.8,11
"SEP1 15",1545,"CALL",322.8,342,11
"SEP1 15",1550,"CALL",318,337.2,11
"SEP1 15",1555,"CALL",313.3,332.5,11
"SEP1 15",1560,"CALL",308.5,327.7,11
"SEP1 15",1565,"CALL",303.7,322.9,11
"SEP1 15",1570,"CALL",299,318.2,11
"SEP1 15",1575,"CALL",294.2,313.4,11
"SEP1 15",1580,"CALL",289.5,308.7,11
"SEP1 15",1585,"CALL",284.8,304,11
"SEP1 15",1590,"CALL",280,299.2,11
"SEP1 15",1595,"CALL",275.3,294.5,11
"SEP1 15",1600,"CALL",270.6,289.8,11
"SEP1 15",1605,"CALL",265.9,285.1,11
"SEP1 15",1610,"CALL",261.3,280.5,11
"SEP1 15",1615,"CALL",256.6,275.8,11
"SEP1 15",1620,"CALL",251.9,271.1,11
"SEP1 15",1625,"CALL",247.3,266.5,11
"SEP1 15",1630,"CALL",242.7,261.9,11
"SEP1 15",1635,"CALL",238.1,257.3,11
"SEP1 15",1640,"CALL",233.5,252.7,11
"SEP1 15",1645,"CALL",228.9,248.1,11
"SEP1 15",1650,"CALL",224.3,243.5,11
"SEP1 15",1655,"CALL",219.7,238.9,11
"SEP1 15",1660,"CALL",215.2,234.4,11
"SEP1 15",1665,"CALL",210.7,229.9,11
"SEP1 15",1670,"CALL",206.2,225.4,11
"SEP1 15",1675,"CALL",201.7,220.9,11
"SEP1 15",1680,"CALL",198.8,214.8,11
"SEP1 15",1685,"CALL",194.4,210.4,11
"SEP1 15",1690,"CALL",191.5,204.3,11
"SEP1 15",1695,"CALL",187.1,199.9,11
"SEP1 15",1700,"CALL",182.7,195.5,11
"SEP1 15",1705,"CALL",178.4,191.2,11
"SEP1 15",1710,"CALL",174,186.8,11
"SEP1 15",1715,"CALL",169.7,182.5,11
"SEP1 15",1720,"CALL",165.4,178.2,11
"SEP1 15",1725,"CALL",161.1,173.9,11
"SEP1 15",1730,"CALL",156.9,169.7,11
"SEP1 15",1735,"CALL",152.7,165.5,11
"SEP1 15",1740,"CALL",148.5,161.3,11
"SEP1 15",1745,"CALL",144.3,157.1,11
"SEP1 15",1750,"CALL",140.2,153,11
"SEP1 15",1755,"CALL",136.1,148.9,11
"SEP1 15",1760,"CALL",132,144.8,11
"SEP1 15",1765,"CALL",128,140.8,11
"SEP1 15",1770,"CALL",124,136.8,11
"SEP1 15",1775,"CALL",120,132.8,11
"SEP1 15",1780,"CALL",116.1,128.9,11
"SEP1 15",1785,"CALL",112.2,125,11
"SEP1 15",1790,"CALL",108.4,121.2,11
"SEP1 15",1795,"CALL",104.5,117.3,11
"SEP1 15",1800,"CALL",100.7,113.5,11
"SEP1 15",1805,"CALL",98.4,108.4,11
"SEP1 15",1810,"CALL",95.7,103.7,11
"SEP1 15",1815,"CALL",92,100,11
"SEP1 15",1820,"CALL",88.3,96.3,11
"SEP1 15",1825,"CALL",84.7,92.7,11
"SEP1 15",1830,"CALL",81.2,89.2,11
"SEP1 15",1835,"CALL",77.7,85.7,11
"SEP1 15",1840,"CALL",74.2,82.2,11
"SEP1 15",1845,"CALL",70.8,78.8,11
"SEP1 15",1850,"CALL",67.4,75.4,11
"SEP1 15",1855,"CALL",64.1,72.1,11
"SEP1 15",1860,"CALL",60.8,68.8,11
"SEP1 15",1865,"CALL",57.6,65.6,11
"SEP1 15",1870,"CALL",54.5,62.5,11
"SEP1 15",1875,"CALL",51.4,59.4,11
"SEP1 15",1880,"CALL",49.9,54.9,11
"SEP1 15",1885,"CALL",47.4,51.4,11
"SEP1 15",1890,"CALL",44.6,48.6,11
"SEP1 15",1895,"CALL",41.8,45.8,11
"SEP1 15",1900,"CALL",39.1,43.1,11
"SEP1 15",1905,"CALL",36.9,40.1,11
"SEP1 15",1910,"CALL",34.4,37.6,11
"SEP1 15",1915,"CALL",32,35.2,11
"SEP1 15",1920,"CALL",29.7,32.7,11
"SEP1 15",1925,"CALL",27.8,30.2,11
"SEP1 15",1930,"CALL",25.6,28,11
"SEP1 15",1935,"CALL",23.5,25.9,11
"SEP1 15",1940,"CALL",21.6,24,11
"SEP1 15",1945,"CALL",20.1,21.7,11
"SEP1 15",1950,"CALL",18.5,19.7,11
"SEP1 15",1955,"CALL",16.8,18,11
"SEP1 15",1960,"CALL",15.2,16.4,11
"SEP1 15",1965,"CALL",13.7,14.9,11
"SEP1 15",1970,"CALL",12.3,13.5,11
"SEP1 15",1975,"CALL",11,12.2,11
"SEP1 15",1980,"CALL",9.9,11.1,11
"SEP1 15",1985,"CALL",8.9,9.8,11
"SEP1 15",1990,"CALL",8,8.9,11
"SEP1 15",1995,"CALL",7.1,8,11
"SEP1 15",2000,"CALL",6.2,7.1,11
"SEP1 15",2005,"CALL",5.5,6.4,11
"SEP1 15",2010,"CALL",4.8,5.7,11
"SEP1 15",2015,"CALL",4.3,5.1,11
"SEP1 15",2020,"CALL",3.8,4.6,11
"SEP1 15",2025,"CALL",3.3,4.1,11
"SEP1 15",2030,"CALL",2.85,3.6,11
"SEP1 15",2035,"CALL",2.5,3.3,11
"SEP1 15",2040,"CALL",2.15,2.95,11
"SEP1 15",2045,"CALL",1.9,2.6,11
"SEP1 15",2050,"CALL",1.7,2.25,11
"SEP1 15",2055,"CALL",1.5,2.05,11
"SEP1 15",2060,"CALL",1.3,1.85,11
"SEP1 15",2065,"CALL",1.1,1.65,11
"SEP1 15",2070,"CALL",0.95,1.5,11
"SEP1 15",2075,"CALL",0.85,1.4,11
"SEP1 15",2080,"CALL",0.75,1.2,11
"SEP1 15",2085,"CALL",0.65,1.1,11
"SEP1 15",2090,"CALL",0.55,1,11
"SEP1 15",2095,"CALL",0.45,0.9,11
"SEP1 15",2100,"CALL",0.35,0.8,11
"SEP1 15",2105,"CALL",0.3,0.75,11
"SEP1 15",2110,"CALL",0.25,0.65,11
"SEP1 15",2115,"CALL",0.2,0.6,11
"SEP1 15",2120,"CALL",0.15,0.55,11
"SEP1 15",2125,"CALL",0.1,0.5,11
"SEP1 15",2130,"CALL",0.1,0.5,11
"SEP1 15",2135,"CALL",0.1,0.4,11
"SEP1 15",2140,"CALL",0.05,0.35,11
"SEP1 15",2145,"CALL",0.05,0.35,11
"SEP1 15",2150,"CALL",0,0.3,11
"SEP1 15",2155,"CALL",0,0.3,11
"SEP1 15",2160,"CALL",0,0.3,11
"SEP1 15",2165,"CALL",0,0.3,11
"SEP1 15",2170,"CALL",0,0.3,11
"SEP1 15",2175,"CALL",0,0.3,11
"SEP1 15",2180,"CALL",0,0.3,11
"SEP1 15",2185,"CALL",0,0.3,11
"SEP1 15",2190,"CALL",0,0.3,11
"SEP1 15",2195,"CALL",0,0.3,11
"SEP1 15",2200,"CALL",0,0.3,11
"SEP1 15",2205,"CALL",0,0.3,11
"SEP1 15",2210,"CALL",0,0.3,11
"SEP1 15",2215,"CALL",0,0.3,11
"SEP1 15",2220,"CALL",0,0.3,11
"SEP1 15",2225,"CALL",0,0.3,11
"SEP1 15",2230,"CALL",0,0.3,11
"SEP1 15",2235,"CALL",0,0.3,11
"SEP1 15",2240,"CALL",0,0.3,11
"SEP1 15",2245,"CALL",0,0.3,11
"SEP1 15",2250,"CALL",0,0.3,11
"SEP1 15",2255,"CALL",0,0.3,11
"SEP1 15",2260,"CALL",0,0.3,11
"SEP1 15",2265,"CALL",0,0.3,11
"SEP1 15",2270,"CALL",0,0.3,11
"SEP1 15",2275,"CALL",0,0.3,11
"SEP1 15",2280,"CALL",0,0.3,11
"SEP1 15",2290,"CALL",0,0.3,11
"SEP1 15",2300,"CALL",0,0.3,11
"SEP1 15",2325,"CALL",0,0.3,11
"SEP1 15",2350,"CALL",0,0.3,11
"SEP1 15",2400,"CALL",0,0.3,11
"SEP1 15",2450,"CALL",0,0.3,11
"SEP2 15",750,"CALL",1110.7,1129.9,18
"SEP2 15",800,"CALL",1060.8,1080,18
"SEP2 15",850,"CALL",1010.9,1030.1,18
"SEP2 15",900,"CALL",961,980.2,18
"SEP2 15",950,"CALL",911.1,930.3,18
"SEP2 15",1000,"CALL",861.2,880.4,18
"SEP2 15",1050,"CALL",811.4,830.6,18
"SEP2 15",1100,"CALL",761.6,780.8,18
